127.0.0.1 - - [18/Oct/2020:18:54:06 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:09 +0200] "GET /NominasFinalV2/ HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:09 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:09 +0200] "GET /NominasFinalV2/DesktopHD.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:12 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:16 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=nuevoEmpleado HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:19 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=editar&dni=32000032G HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:21 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:22 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=nuevoEmpleado HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:22 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4636
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:25 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=editar&dni=32000532G HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:54:29 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=editar&dni=32000132G HTTP/1.1" 200 2178
0:0:0:0:0:0:0:1 - - [18/Oct/2020:18:56:36 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4660
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:00:16 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4660
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:21 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4682
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:21 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:37 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4694
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:37 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:39 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=nuevoEmpleado HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:50 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4706
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:02:50 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:03:27 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:03:27 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:03:28 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4732
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:03:28 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:05:56 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:02 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:36 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4821
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:36 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:51 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:51 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4826
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:51 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:06:59 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=menu HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:24 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:24 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:32 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=editar&dni=32000032G HTTP/1.1" 200 2179
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:41 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 4799
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:41 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:43 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=eliminar&dni=32000532G HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:07:56 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=nuevoEmpleado HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:08:03 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 3794
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:08:03 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:08:41 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=menu HTTP/1.1" 200 1034
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:08:41 +0200] "GET /favicon.ico HTTP/1.1" 404 698
0:0:0:0:0:0:0:1 - - [18/Oct/2020:19:08:42 +0200] "GET /NominasFinalV2/EmpleadoServlet?action=lista HTTP/1.1" 200 3794
